date,author_name,rating,title,body,page_number
2025-09-28,Denise,5,The ease of the blood draw,"The ease of the blood draw, my physician and all the biomarkers that help narrow down what to concentrate on the most important issues.",4
2025-09-27,John,5,I get personal advice and specific recommendations,"I get personal advice, not one size fits all.",4
2025-09-26,Frank Greco,1,Very poorly run organization,"The website and automated responses and emails are well designed. Unfortunately that's where it ends. Every step of the process is poorly run. Scheduling the blood draw was difficult, getting the results took much longer than the time period advertised, the consult didn't happen because they didn't show up for it. The automated reminders work well but I wish they remind themselves to show up for it. Answers to basic questions take days or not at all. I was supposed to get 50+ biomarkers but only received 36. I had to cancel because I didn't want to continue to pay for no responses. I almost feel scammed but it really seems like a very poorly run organization.",4
2025-09-23,Brandon Schwartz,5,Highly recommended!,"The testing was easy and going over my results, with an action plan, was extremely informative! I received dietary insight, supplemental suggestions and additional information in areas I was looking for - highly recommended!",4
2025-09-21,Becky McCullough,5,From the blood draw to the…,"From the blood draw to the consultation, everyone was friendly and knowledgeable!",4
2025-09-18,S Corwin,1,Slow and mixed communication,"As noted by others, communication can be achingly slow. Initially, i received one shipment if the RXs that I had been using for eight years. I contacted Lifeforce when I noticed my RXs that I saw were ready to send to me never arrived. Multiple calls, texts and emails and no one could tell me what happened. I finally figured out that ONE of the rx was flagged bec. of a slight spike in my estrogen level. I was told on a telehealth visit and again in a lengthy and unclear clinician's note that I should ""go back"" to the original MD for my Bioidentical HRT. Figuring that out came weeks after my trying over and over to get my rx delivered. The spike in my ESTROGEN level did not explain why my Thyroid rx, progesterone and testosterone were cancelled. Many calls later, no one could explain. And, then a full month after I canceled my membership with Lifeforce I got two shipments one after the other. One had the testosterone I never needed and canceled in my dashboard, every time I saw it, the armour thyroid i needed two months prior and the progesterone. Maybe a week later, the other shipment arrived with another testosterone and progesterone. So frustrating and going without the complete protocol meant changes to my physique, my energy level, my brain function. I needed to go outside LIfeforce to finally get my thyroid support and all of the bioidentical HRTs that served me for almost 10 years. Lifeforce needs more information to reply to my complaint. I intend to send a direct message to Lifeforce along with the invoices for RXs that I hadn't ordered.",4
2025-09-16,Ralph,5,The clinician was very knowledgeable…,"The clinician was very knowledgeable and was helpful in making sense of the data and creating an action plan,",4
2025-09-14,customer,5,I look forward to my appointments,I look forward to my appointments. I get quality suggestions and my questions are answered by the clinician and my coach. I feel like I am more informed and can concentrate on a plan that works for me.,4
2025-09-02,customer,5,My personal consultant who is assigned…,My personal consultant who is assigned to me is outstanding. Super knowledgeable and makes numerous great suggestions to help me achieve my goals. Highly recommend!,4
2025-08-31,Jack,1,Not a very client focused company,I signed up for LIfeforce based on a google review of the products they offer. Seem pretty good. Found out after I signed up they offer a veterans discount. Had to cancel my subscription and resign up to get discount. Took a while to work this out. Communication is only through email which is very slow. Once I signed back up it took me a couple of weeks to do the labs. Labs completed and I am still waiting for the results to be read to see what I need. It's been 2 weeks. Again super slow to respond to any questions and set up treatment. I've already paid and right now I am still waiting for whatever the next step is. Not sure I will continue with this company.,4
2025-08-24,Jennifer,5,The clinician was so helpful,"The clinician was so helpful. I love I can get all the biomarker insights but then have 1:1 time with a doctor to get details on what everything means, answer my questions and build a plan specific to my unique results.",4
2025-08-23,Silvia,5,Being on the known about your health,"I am very happy with Lifeforce services!I take priority when it comes to my health, And I know I can trust this company to let me know if anything is not well in my body. I truly appreciate the fact that I can see my results from my bloodwork, and it is not just a simple physical they go into depth checking over 40 bio markers and then I get to go over all of this information with my clinician. I am very thankful to Lifefoce, to each and every person that makes possible this company!",4
2025-08-20,Jordan Santos,3,I wasn't informed that they aren't able…,I wasn't informed that they aren't able to ship certain products to some states. I specifically told a representative I wanted restoring cream. Well after subscribing and getting lab work I had my consultation with the dr. Since I live in Ohio they can't prescribe me testosterone cream. This should have been told to me in my initial inquiries when deciding to choose this company. I'm changing this to a 3 star for a 1 star review cause they did give me a full a refund.,4
2025-08-19,Steve Levine,5,Feeling younger and healthier,Lifeforce's approach to measuring and impacting health is super thoughtful. The science makes sense and the team is awesome. I feel younger and healthier and can't recommend Lifeforce enough!,4
2025-08-19,Joey G,5,"Great insights, great value","I love Lifeforce! I consider myself fairly fit and healthy but as I get older I want to make sure I stay that way. I heard about Lifeforce and have been getting the diagnostic test regularly for the last couple years and it has been really eye opening... I was really surprised to see my A1c a lot higher than I would have expected. The doc I consulted with gave me some great lifestyle tips to bring that back down and some other things simply to help me feel better or have more energy day to day. Also, don't sleep (ha...) on peak rest!! It's my favorite supplement of theirs... puts me right to sleep when nothing else does.",4
2025-08-19,Sara Elliott,5,Amazingly easy and informative,"Amazingly easy and informative! Blood draw was set up quickly and the phlebotomist was super nice and gentle. Received results sooner than I expected, which was great. The dashboard is very easy to read and understand and I love having access to this information for my PCP. Best decision!",4
2025-08-19,Customer,5,Sleeping Better than ever!,"Went through the company to help with issues my LP would not address because I was not at the typical age. I was able to speak to someone quickly, get an in home blood draw, and discuss with my Coach. I was given a treatment to choose from and chose what I wanted to prioritize. I have been sleeping the best and I can't wait to see how my numbers change over the next few quarters.",5
2025-08-05,Jon Pardi,1,I paid on July 21,"I paid on July 21, 2025, all communication since the beginning has been by text only..phone.line has message that they can't handle the volume of calls .person texting has gotten my phone number wrong and then told me ""if you have access to that (wrong ) number, check it for messages This was her response to my delayed outreach for the blood draw. Finally it was scheduled and the person texted me.saying they got a flat tire. Upon trying.to reschedule i was informed I had to wait another week if I could fit.into.her schedule.",5
2025-07-24,Corri A.,5,We joined Lifeforce in order to be proactive with our healthcare.,"We joined Lifeforce in order to be more proactive with our healthcare. We were tired of waiting until something was ""wrong"", then addressing it. We now have routine bloodwork done to ensure we're heading in the right direction, making slight adjustments as needed. We couldn't be happier!",5
2025-07-16,William Berkshire,1,No follow ups,"I enrolled in this program in November of 2024. According to the advertising, there was to be a first blood test with a follow up consultation (which did happen), and then every three months they said that they would conduct another at-home blood draw and consultation. Although I received the first blood test and consultation (and I subscribed to a supplement that was recommended) there was no subsequent notice that I should schedule any further blood tests, or any other correspondence from the company whatsoever. They continued to charge me monthly for membership and continued to send and charge me for the supplements through the end of June 2025, when my credit card was removed.",5
2025-06-27,Daniel Hill,1,They didn't seem to have time for me,"They didn't seem to have time to respond to my questions or concerns. They only ever wanted to give me more pills at every consultation, it's like they get bonuses for selling more products. They never once addressed my original concerns and that issue has only gotten worse since I started speaking with them a year and a half ago. I told them my concerns and it took them 4 days to send me a text update saying they were still waiting on clinicians to respond.They seemed great at first so it's very disappointing.",5
2025-06-26,Andrea Schunk,2,Inefficient platform,"I am frustrated with several aspects of the platform. First, it is not intuitive to navigate, and their website has glitches. For example, I cannot complete my health intake form because I can't proceed past the page where I enter my weight, even though I am following the required format.However, my main issue arises from my last provider appointment. A prescription medication was supposed to be added to my plan, but it wasn't. I had to call and text customer service repeatedly, which took much longer than they had promised. Eventually, it was added to my plan, but I was still required to enter it myself. I completed this several weeks ago, but I noticed it hasn't been charged yet, even though my other prescription was charged. I've had multiple bottles of that other medication sent to me due to their repeated shipments. The medication I need is for hormone replacement therapy (HRT), which I had been receiving from a different provider. I canceled that service, thinking I could streamline my medication management here. Now, nearly a month has passed, and I have received no indication that my HRT medication is on its way. I have never encountered such an inefficient platform. I will be canceling my account as soon as I manage to get my medications sorted out.",5
2025-06-19,David Flores,5,Lifeforce gave me the answers no one else could,"For most of my life, I've struggled with obesity—despite countless diets, workouts, and even visits to doctors. But no one could ever give me a clear explanation of what was actually happening inside my body. I was always told to ""eat less, move more,"" without understanding the deeper biological reasons why my body resisted change.That changed when I joined Lifeforce.The level of detail in the lab work, combined with the guidance I received from both my clinician and my health coach, helped me uncover the root causes—hormonal imbalances, metabolic issues, and mitochondrial dysfunction. These are things traditional doctors never discussed with me. For the first time, I understood why I've struggled for so long—and more importantly, how to fix it.Lifeforce isn't just about optimization for performance—it's a real, science-based solution to long-standing health issues that most people are stuck with because they don't have access to this level of insight.This program is helping me take control of my body in ways I never thought possible. If you've felt like your health journey has been a mystery, Lifeforce will give you the map.",5
2025-06-17,CHRIS SMITH,5,I've had an excellent experience from…,I've had an excellent experience from the start and on my second month. I am super pleased with the quality of the communication and review of the bloodwork results. I had some excellent recommendations that I've taken in and I feel amazing. My quality of life is much higher since starting this and I'm grateful for your services and supportive team!,5
2025-06-07,Leslie,5,Lifeforce experience…,"I came into this experience rather skeptical. I've been so pleased with the information provided to me. My glucose has been borderline high for years. With the coaching and the testing feedback, I've been able to lower this to a normal range. The products recommended for me have performed as promised and I've never been pressured into purchasing something I don't want.",5
2025-06-07,Joseph,5,Since joining Lifeforce,"Since joining Lifeforce, I've been very impressed with the companies professionalism, the advice I receive from the doctors, the quality of the supplements and the fact that I feel I have a greater opportunity to impact and control the future of my health. I highly recommend Lifeforce.",5
2025-06-06,Alexander,4,Blood draws have been good,"Blood draws have been good, i like the mobile service option. Dr Faustine is awesome and a great source of knowledge, guidance and support. Otherwise, i haven't had much success with the life-coach side of the equation. that could be improved.",5
2025-06-06,Mark,5,Dr Thomas is wonderful,Dr Thomas is wonderful,5
2025-06-06,JDH,5,Slow and steady,"Browsing through Trustpilot I'm really surprised to see the ""low"" average rating for Lifeforce. After reading some of the other deranged low reviews, I figured I would chime in with some positive support.It's now been over two years that I've been working with Lifeforce. Admittedly, much of my excitement for the program has tempered. My original hope was that by participating in Lifeforce I would soon become super-human. A fully optimized ""model""; feeling and looking the best I ever have in my life. The reality is much more subtle and boring than that. I do feel good, and there has been real and tangible progress on improving my biomarkers.I take many of the LF supplements, especially the proprietary mixes. Interestingly, they do not sell many of the supplements that they recommended for me - and two of those were the ones resulting in some of the greatest improvements to my personal biomarkers.I love and trust my doctor. And I think if she left, they might not be able to replace her.Update - shortly after my review I noticed a new formulation has been quietly released. And on checking I see that there has actually been at least one product reformulation - I was unaware of.",5
2025-06-06,Ohryn,4,I have good relationship with Dr Russ.,I have good relationship with Dr Russ.,5
2025-06-06,Roy,5,My overall health has increased…,My overall health has increased significantly!!,5
2025-06-06,Sandy,5,Very helpful analyzing the bloodwork…,Very helpful analyzing the bloodwork and answering any questions I have.,5
2025-06-04,JB Rider,2,Love the people . . . system needs work,"The people are great & very attentive. I always get a quick response from MANY people always happy to try and help. I can't say enough how much I LOVE the people.The what seems like an automated system can be a pain and not work properly. It also seems that when thing do go wrong, it is not easy for your personnel to adjust/correct the system.I might be wrong. I followed what I thought was the procedure at the time. It could have been because I downloaded my blood work paperwork before filling out the questionere completely the system was not happy.My new blood work was supposed to be loaded after the fix. In the past years, better draw-result-notification has been a maximum of a few days between me getting the results from the labs and being informed from LifeForce ""my data is in"". It has now been over a week.",5
2025-06-02,Paul,5,Order was fast,"Order was fast, easy and accurate",5
2025-06-01,Aaron Johnson,4,Updated review,Update to the previous review. After leaving my honest review based on my experience I was reached out to by the team at Life Force. They worked with me to immediately address my concerns. There were multiple follow ups and communication was great. This was drastically better than the first 1.5 months of my experience. I really appreciate the time and effort the team took to correct my situation and explain to me what was going on. I will update again in a few months and if this continues I will definitely be maxing the score. I really do appreciate the care and communication and the feedback that was accepted and acted upon. Great job and I am definitely giving them another chance.,5
2025-05-30,Gina,5,My appointment with Sophia Viner to…,"My appointment with Sophia Viner to review my results was the best appointment I have had since I was in Texas. No one else that I have met with since 2023, when I returned to Boston, has come close to the competence of Ms. Viner.",5
2025-05-30,Stephen,5,Very helpful service,Much more in depth than my primary care has ever gone. Discovered I had hormone issues that I likely was suffering from for years and my PC never addressed. First blood test with Life force and results were clear as day. Doctor gave me protocol for diet and a few supplements to take. Felt 10x better and like a fog had lifted. Health coach was helpful offering recipes and different foods to try.,6
2025-05-30,John,5,LifeForce is part of the foundation of good health,"I appreciate the consistent quality of the products and the well-researched information that is shared to help me and my family to improve our health. Our physician telehealth visit was comprehensive, compassionate, and an easy conversation to have.",6
2025-05-30,Charles,5,Dr.Antoniou has good answers and…,Dr.Antoniou has good answers and direction for me.,6
2025-05-30,Chris,1,If you want to know,"If you want to know, call me.",6
